title,authors,genre,description,image_url,rating
The Hunger Games,Suzanne Collins,Romance,A compelling Romance novel by Suzanne Collins. 'The Hunger Games' has captivated readers with its engaging narrative and deep character development. Rated 4.34 stars on Goodreads.,https://images.gr-assets.com/books/1447303603m/2767052.jpg,4.34
Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPré",Fantasy,"A compelling Fantasy novel by J.K. Rowling, Mary GrandPré. 'Harry Potter and the Philosopher's Stone' has captivated readers with its engaging narrative and deep character development. Rated 4.44 stars on Goodreads.",https://images.gr-assets.com/books/1474154022m/3.jpg,4.44
Twilight,Stephenie Meyer,Science Fiction,A compelling Science Fiction novel by Stephenie Meyer. 'Twilight' has captivated readers with its engaging narrative and deep character development. Rated 3.57 stars on Goodreads.,https://images.gr-assets.com/books/1361039443m/41865.jpg,3.57
To Kill a Mockingbird,Harper Lee,Business,A compelling Business novel by Harper Lee. 'To Kill a Mockingbird' has captivated readers with its engaging narrative and deep character development. Rated 4.25 stars on Goodreads.,https://images.gr-assets.com/books/1361975680m/2657.jpg,4.25
The Great Gatsby,F. Scott Fitzgerald,Romance,A compelling Romance novel by F. Scott Fitzgerald. 'The Great Gatsby' has captivated readers with its engaging narrative and deep character development. Rated 3.89 stars on Goodreads.,https://images.gr-assets.com/books/1490528560m/4671.jpg,3.89
The Fault in Our Stars,John Green,Fiction,A compelling Fiction novel by John Green. 'The Fault in Our Stars' has captivated readers with its engaging narrative and deep character development. Rated 4.26 stars on Goodreads.,https://images.gr-assets.com/books/1360206420m/11870085.jpg,4.26
The Hobbit or There and Back Again,J.R.R. Tolkien,Business,A compelling Business novel by J.R.R. Tolkien. 'The Hobbit or There and Back Again' has captivated readers with its engaging narrative and deep character development. Rated 4.25 stars on Goodreads.,https://images.gr-assets.com/books/1372847500m/5907.jpg,4.25
The Catcher in the Rye,J.D. Salinger,Mystery,A compelling Mystery novel by J.D. Salinger. 'The Catcher in the Rye' has captivated readers with its engaging narrative and deep character development. Rated 3.79 stars on Goodreads.,https://images.gr-assets.com/books/1398034300m/5107.jpg,3.79
Angels & Demons,Dan Brown,Science Fiction,A compelling Science Fiction novel by Dan Brown. 'Angels & Demons' has captivated readers with its engaging narrative and deep character development. Rated 3.85 stars on Goodreads.,https://images.gr-assets.com/books/1303390735m/960.jpg,3.85
Pride and Prejudice,Jane Austen,Thriller,A compelling Thriller novel by Jane Austen. 'Pride and Prejudice' has captivated readers with its engaging narrative and deep character development. Rated 4.24 stars on Goodreads.,https://images.gr-assets.com/books/1320399351m/1885.jpg,4.24
